idx,ref_img_path,dis_img_path,score,mos_label
0,,,0.9976478815078735,4.73
1,,,0.735422670841217,2.27
2,,,0.7921783924102783,3.7
3,,,0.8847899436950684,4.53
4,,,0.7387872934341431,2.4
5,,,0.9681571125984192,3.97
6,,,0.7582966089248657,1.6
7,,,0.7174497842788696,2.63
8,,,0.9325742721557617,3.6
9,,,0.8581111431121826,3.9
10,,,0.7112764120101929,1.37
11,,,0.7468284368515015,1.93
12,,,0.9254878759384155,4.23
13,,,0.8999115228652954,3.83
14,,,0.6900374889373779,1.8
15,,,0.7645297050476074,2.0
16,,,0.813788890838623,1.53
17,,,0.9528473019599915,4.13
18,,,1.0,4.5
19,,,0.8084125518798828,3.5
20,,,0.7413806915283203,1.6
21,,,0.8219982981681824,2.1
22,,,0.9997620582580566,4.7
23,,,0.9381416440010071,4.0
24,,,0.8953983783721924,1.77
25,,,0.9078547954559326,2.77
26,,,0.8990206122398376,3.03
27,,,0.8528298735618591,3.27
28,,,0.7175858020782471,1.3
29,,,0.8938015103340149,4.37
30,,,0.741520881652832,2.0
31,,,1.0,4.43
32,,,0.9736599922180176,4.53
33,,,0.8653185367584229,2.3
34,,,0.9796923995018005,4.47
35,,,0.9727199077606201,4.5
36,,,0.9311800003051758,1.9
37,,,0.7095239758491516,1.27
38,,,0.729498565196991,1.37
39,,,0.908928394317627,4.47
40,,,0.8685722947120667,3.03
41,,,1.0,4.43
42,,,0.8463952541351318,3.07
43,,,0.7508678436279297,2.1
44,,,0.9455024600028992,4.07
45,,,0.9617252349853516,3.97
46,,,0.8413614630699158,3.83
47,,,0.8733384609222412,3.03
48,,,0.7138472199440002,1.37
49,,,0.8338247537612915,4.27
50,,,1.0,4.5
51,,,0.9894723296165466,4.57
52,,,0.8968523740768433,3.07
53,,,0.8878058195114136,3.13
54,,,0.7789006233215332,3.63
55,,,0.7589244842529297,3.13
56,,,0.9122920036315918,3.77
57,,,0.7161312103271484,1.35
58,,,0.8223384618759155,2.1
59,,,0.8771095275878906,3.4
60,,,0.7927058339118958,1.67
61,,,0.8973163366317749,3.1
62,,,0.8727548122406006,3.73
63,,,0.9351712465286255,3.6
64,,,0.7699910402297974,1.8
65,,,0.7774494886398315,2.03
66,,,0.6654268503189087,1.07
67,,,0.9345613718032837,3.77
68,,,0.8732657432556152,4.27
69,,,0.7538228034973145,1.67
70,,,0.9017623066902161,2.83
71,,,0.8001929521560669,2.03
72,,,0.680073618888855,1.33
73,,,0.8664441108703613,4.4
74,,,0.9361756443977356,4.4
75,,,0.9324937462806702,2.4
76,,,0.8383850455284119,3.13
77,,,0.9627577066421509,2.47
78,,,0.8754642009735107,2.77
79,,,0.9196262955665588,4.47
80,,,0.8274667859077454,2.73
81,,,0.933646559715271,4.1
82,,,0.7919515371322632,2.07
83,,,0.7910560369491577,2.8
84,,,0.8270435333251953,2.07
85,,,0.7150322198867798,1.43
86,,,0.7433152794837952,2.07
87,,,0.980072557926178,4.39
88,,,0.954024076461792,2.57
89,,,0.9511561393737793,4.03
90,,,0.789564847946167,2.57
91,,,0.698675274848938,1.07
92,,,0.8959234356880188,4.2
93,,,0.8706141114234924,3.53
94,,,0.8880386352539062,1.93
95,,,0.7604306936264038,2.4
96,,,0.8184847831726074,1.93
97,,,0.7872484922409058,1.9
98,,,0.7494760751724243,3.33
99,,,0.9584835767745972,4.33
100,,,0.8075149655342102,2.8
101,,,0.7883942127227783,1.43
102,,,0.7578609585762024,1.57
103,,,0.8237535953521729,3.13
104,,,0.6508746147155762,1.17
105,,,0.9177929162979126,3.43
106,,,0.8778676986694336,3.9
107,,,0.7095429301261902,2.03
108,,,0.9453431367874146,4.6
109,,,0.7632165551185608,2.8
110,,,0.868224561214447,4.47
111,,,0.8300589323043823,4.0
112,,,0.978511393070221,4.53
113,,,0.904118537902832,3.0
114,,,0.7774941325187683,2.37
115,,,0.7604990005493164,1.6
116,,,0.9405303597450256,3.8
117,,,0.8872905373573303,3.93
118,,,0.8019909262657166,2.0
119,,,0.6780006289482117,1.2
120,,,0.7943470478057861,2.47
121,,,0.8197310566902161,1.93
122,,,0.8108901977539062,1.87
123,,,0.9004116058349609,3.0
124,,,0.9476101398468018,3.93
125,,,0.7349904775619507,2.87
126,,,0.8566263914108276,1.74
127,,,0.8887957334518433,3.84
128,,,0.6937723159790039,1.53
129,,,0.8265249133110046,2.33
130,,,0.7197316884994507,1.3
131,,,0.7415993213653564,1.73
132,,,0.9272351264953613,3.1
133,,,0.85665363073349,3.67
134,,,0.9106342792510986,4.33
135,,,0.897087812423706,4.63
136,,,0.8520632386207581,3.77
137,,,0.7208373546600342,1.55
138,,,0.9555761218070984,4.6
139,,,0.7159091234207153,1.23
140,,,0.8979476094245911,3.5
141,,,0.9663536548614502,4.5
142,,,1.0,4.5
143,,,0.9520660638809204,4.27
144,,,0.9465761780738831,4.53
145,,,0.9198630452156067,3.57
146,,,0.7370897531509399,2.13
147,,,0.8164070844650269,2.13
148,,,0.9264403581619263,3.17
149,,,1.0,4.77
150,,,0.8424748182296753,2.97
151,,,0.8961633443832397,2.9
152,,,0.7264883518218994,3.23
153,,,1.0,4.4
154,,,0.6905676126480103,1.23
155,,,0.8437725305557251,3.5
156,,,0.7771592140197754,2.63
157,,,0.9410409331321716,4.5
158,,,0.8960256576538086,4.23
159,,,0.8765292763710022,4.03
160,,,0.8002694249153137,2.97
161,,,0.9199321269989014,3.6
162,,,0.9102542400360107,4.67
163,,,0.7686326503753662,1.8
164,,,0.8163885474205017,3.03
165,,,0.6736448407173157,1.53
166,,,0.8531801700592041,1.93
167,,,0.8724384903907776,3.58
168,,,0.8672529458999634,4.23
169,,,0.9623063206672668,4.4
170,,,0.870852530002594,4.6
171,,,0.6668890714645386,1.27
172,,,0.8451944589614868,2.1
173,,,0.7261537909507751,1.81
174,,,1.0,4.67
175,,,0.9466355443000793,4.3
176,,,0.8462892174720764,4.13
177,,,0.9134180545806885,2.13
178,,,0.9085087776184082,4.3
179,,,0.771043062210083,2.0
180,,,0.8113861083984375,2.2
181,,,0.8814680576324463,3.63
182,,,0.8619113564491272,2.57
183,,,0.8623484373092651,3.13
184,,,0.7286906838417053,1.83
185,,,0.7910342216491699,1.83
186,,,0.7336090207099915,1.23
187,,,0.9585103392601013,4.7
